Split Speed finished. Start to generate Mask, Delta, Last_observed_X ...
Generate Mask, Delta, Last_observed_X finished. Start to shuffle and split dataset ...
Finished
Model Structure:  GRUD (
  (fc): Linear (38 -> 1)
  (sigmoid): Sigmoid ()
  (zl): Linear (114 -> 38)
  (rl): Linear (114 -> 38)
  (hl): Linear (114 -> 38)
  (gamma_x_l): FilterLinear(in_features=38, out_features=38, bias=True)
  (gamma_h_l): Linear (38 -> 38)
)
Start Training ... 
Output type dermined by the model
Epoch: 0, train_loss: [ 0.39584109], valid_loss: [ 0.39185765], time: [ 3.79], best model: 1
Epoch: 1, train_loss: [ 0.19118655], valid_loss: [ 0.19025998], time: [ 2.81], best model: 1
Epoch: 2, train_loss: [ 0.13079304], valid_loss: [ 0.13733235], time: [ 2.83], best model: 1
Epoch: 3, train_loss: [ 0.10680673], valid_loss: [ 0.1105722], time: [ 2.8], best model: 1
Epoch: 4, train_loss: [ 0.09567846], valid_loss: [ 0.09618551], time: [ 2.8], best model: 1
Epoch: 5, train_loss: [ 0.08981174], valid_loss: [ 0.0922907], time: [ 2.81], best model: 1
Epoch: 6, train_loss: [ 0.08642364], valid_loss: [ 0.09123783], time: [ 2.79], best model: 1
Epoch: 7, train_loss: [ 0.08422676], valid_loss: [ 0.08440539], time: [ 2.81], best model: 1
Epoch: 8, train_loss: [ 0.0802208], valid_loss: [ 0.08296406], time: [ 2.78], best model: 1
Epoch: 9, train_loss: [ 0.08170964], valid_loss: [ 0.08908685], time: [ 2.79], best model: 0
Epoch: 10, train_loss: [ 0.08094432], valid_loss: [ 0.09364841], time: [ 2.81], best model: 0
Epoch: 11, train_loss: [ 0.08036012], valid_loss: [ 0.09048329], time: [ 2.79], best model: 0
Epoch: 12, train_loss: [ 0.07989414], valid_loss: [ 0.08747102], time: [ 2.8], best model: 0
Epoch: 13, train_loss: [ 0.0795253], valid_loss: [ 0.07925084], time: [ 2.82], best model: 1
Epoch: 14, train_loss: [ 0.07914544], valid_loss: [ 0.08143106], time: [ 2.8], best model: 0
Epoch: 15, train_loss: [ 0.07877891], valid_loss: [ 0.07825468], time: [ 2.81], best model: 1
Epoch: 16, train_loss: [ 0.07830622], valid_loss: [ 0.07504622], time: [ 2.79], best model: 1
Epoch: 17, train_loss: [ 0.07778036], valid_loss: [ 0.07948844], time: [ 2.79], best model: 0
Epoch: 18, train_loss: [ 0.07708337], valid_loss: [ 0.0785387], time: [ 2.81], best model: 0
Epoch: 19, train_loss: [ 0.0761321], valid_loss: [ 0.0791945], time: [ 2.8], best model: 0
Epoch: 20, train_loss: [ 0.07491786], valid_loss: [ 0.07502172], time: [ 2.81], best model: 1
Epoch: 21, train_loss: [ 0.07326035], valid_loss: [ 0.07482884], time: [ 2.79], best model: 1
Epoch: 22, train_loss: [ 0.07116867], valid_loss: [ 0.06930942], time: [ 2.79], best model: 1
Epoch: 23, train_loss: [ 0.0682994], valid_loss: [ 0.06790932], time: [ 2.81], best model: 1
Epoch: 24, train_loss: [ 0.06457046], valid_loss: [ 0.05752316], time: [ 2.79], best model: 1
Epoch: 25, train_loss: [ 0.06035301], valid_loss: [ 0.05387238], time: [ 2.82], best model: 1
Epoch: 26, train_loss: [ 0.05519525], valid_loss: [ 0.04617793], time: [ 2.8], best model: 1
Epoch: 27, train_loss: [ 0.0501402], valid_loss: [ 0.03783416], time: [ 2.8], best model: 1
